Message,Category
Final notice. Update your info: https://verify-now.online,Spam
Reset your password now at https://get-rich-fast.biz,Spam
Your transaction ID is TXN471861. Please keep it for your records.,Transactional
Your package with tracking ID 162556 has been shipped.,Transactional
Earn money fast! Start today: https://login-now-security.xyz,Spam
Your OTP is 294647. Do not share it with anyone.,Transactional
Your OTP is 321646. Do not share it with anyone.,Transactional
Check out our latest deals at https://merchant-site.com/receipt,Promotional
Upgrade your plan today: https://merchant-site.com/receipt,Promotional
Final notice. Update your info: https://iphone14winner.com,Spam
Invoice for your order is available here: https://merchant-site.com/receipt,Transactional
Your booking is confirmed. View details: https://www.airtel.in/recharge,Transactional
Your booking is confirmed. View details: https://www.myntra.com,Transactional
Your package is waiting. Pay delivery fees at https://netflix-support.com,Spam
Find your perfect gift at https://cleartrip.com,Promotional
You're selected! Redeem your reward at https://urgentupdate.co,Spam
Enjoy 30% off on all products. Shop now at https://trip.com,Promotional
Track your shipment here: https://bluedart.com/track,Transactional
Earn money fast! Start today: https://netflix-support.com,Spam
Click here to win an iPhone: https://fakewebsite.com,Spam
Visit our store: https://www.officialstore.com for more details,Promotional
Your transaction ID is TXN230919. Please keep it for your records.,Transactional
Thanks for your purchase. View invoice: https://trip.com,Transactional
Invoice for your order is available here: https://amazon.in/sale,Transactional
"Login successful from new device. If not you, visit https://www.officialstore.com",Transactional
Thanks for your purchase. View invoice: https://secure.bankportal.in/login,Transactional
Find your perfect gift at https://flipkart.com/deals,Promotional
Reset your password now at https://secure-update.cards,Spam
Final notice. Update your info: https://iphone14winner.com,Spam
Urgent: Your account will be blocked. Verify at https://urgentupdate.co,Spam
Final notice. Update your info: https://login-now-security.xyz,Spam
Click here to win an iPhone: https://netflix-support.com,Spam
Don't miss out! Sale ends soon at https://www.officialstore.com,Promotional
Earn money fast! Start today: https://get-rich-fast.biz,Spam
Visit our store: https://trip.com for more details,Promotional
Reset your password now at https://secure-update.cards,Spam
Earn money fast! Start today: https://verify-now.online,Spam
Click here to win an iPhone: https://iphone14winner.com,Spam
Exclusive deals available here: https://www.officialstore.com,Promotional
Reset your password now at https://fakewebsite.com,Spam
Final notice. Update your info: https://netflix-support.com,Spam
Visit our store: https://merchant-site.com/receipt for more details,Promotional
You have successfully logged into your account.,Transactional
Your package is waiting. Pay delivery fees at https://login-now-security.xyz,Spam
Visit our store: https://amazon.in/sale for more details,Promotional
Urgent: Your account will be blocked. Verify at https://urgentupdate.co,Spam
Introducing our new range. Learn more: https://www.officialstore.com,Promotional
Upgrade your plan today: https://www.myntra.com,Promotional
Invoice for your order is available here: https://flipkart.com/deals,Transactional
You've won a prize! Claim now: https://confirm-payee.click,Spam
Check out our latest deals at https://secure.bankportal.in/login,Promotional
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional
Get free recharge. Click here: https://netflix-support.com,Spam
Invoice for your order is available here: https://cleartrip.com,Transactional
Visit our store: https://trip.com for more details,Promotional
Your booking is confirmed. View details: https://merchant-site.com/receipt,Transactional
Your dream vacation awaits! Book at https://trip.com,Promotional
Introducing our new range. Learn more: https://trip.com,Promotional
Reset your password now at https://netflix-support.com,Spam
Confirm your payment details: https://winfreecash.com,Spam
Upgrade your plan today: https://cleartrip.com,Promotional
Track your shipment here: https://amazon.in/sale,Transactional
Final notice. Update your info: https://login-now-security.xyz,Spam
Upgrade your plan today: https://merchant-site.com/receipt,Promotional
